"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Lebanon","18+  years","Both sexes","38.8 [33.1-44.7]","38.80238","33.12188","44.71728",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Lebanon","18+  years","Both sexes","39.1 [33.5-45]","39.13457","33.45407","45.04947",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Lebanon","18+  years","Male","43.7 [35.6-52.2]","43.73884","35.61717","52.15431",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Lebanon","18+  years","Male","43.9 [35.7-52.3]","43.85175","35.73008","52.26721",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Liberia","18+  years","Male","22.4 [16.7-29]","22.44350","16.72477","28.99989",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Liberia","18+  years","Male","24.5 [18.7-31]","24.45056","18.73183","31.00694",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Liberia","18+  years","Both sexes","25.9 [22-30]","25.87622","22.02513","30.01809",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Liberia","18+  years","Both sexes","27.5 [23.7-31.7]","27.54279","23.69169","31.68465",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Liberia","18+  years","Female","29.3 [24.1-34.9]","29.26471","24.09748","34.85453",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Liberia","18+  years","Female","30.6 [25.5-36.2]","30.63502","25.46778","36.22483",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Male","31 [27-35.1]","30.96761","27.04158","35.12031",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Male","32.8 [28.9-37]","32.80442","28.87839","36.95712",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Both sexes","36.6 [33.3-39.9]","36.55024","33.28036","39.91448",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Both sexes","38 [34.8-41.4]","38.03323","34.76336","41.39747",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Female","42.3 [36.8-47.9]","42.29374","36.78867","47.93481",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Libya","18+  years","Female","43.3 [37.8-48.9]","43.26204","37.75698","48.90311",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Saint Lucia","18+  years","Male","27.8 [22.8-33.1]","27.75774","22.84569","33.08947",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Saint Lucia","18+  years","Male","27.9 [23-33.2]","27.87676","22.96471","33.20850",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Saint Lucia","18+  years","Both sexes","41.2 [36.1-46.4]","41.18111","36.09696","46.41232",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Saint Lucia","18+  years","Both sexes","41.5 [36.5-46.8]","41.53534","36.45119","46.76655",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Saint Lucia","18+  years","Female","54.5 [40.2-68.2]","54.48545","40.21830","68.20694",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Saint Lucia","18+  years","Female","54.5 [40.3-68.3]","54.54360","40.27644","68.26508",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Male","16.9 [14.6-19.4]","16.86300","14.58907","19.36645",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Male","17.3 [15-19.8]","17.26124","14.98731","19.76469",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Both sexes","23.7 [21.8-25.8]","23.74116","21.77065","25.81316",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Both sexes","23.8 [21.8-25.9]","23.78423","21.81372","25.85623",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Female","30.2 [27-33.6]","30.18435","26.97592","33.56946",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Sri Lanka","18+  years","Female","30.3 [27.1-33.7]","30.30723","27.09880","33.69234",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Lesotho","18+  years","Male","5.8 [3.8-8.9]","5.84605","3.76072","8.87568",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Lesotho","18+  years","Both sexes","6.1 [4.9-7.5]","6.05779","4.88944","7.48253",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Lesotho","18+  years","Female","6.3 [4.9-8]","6.25340","4.89932","7.96669",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Lesotho","18+  years","Female","7 [5.6-8.7]","6.96386","5.60978","8.67715",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Lesotho","18+  years","Both sexes","7.2 [6-8.6]","7.20825","6.03990","8.63299",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Lesotho","18+  years","Male","7.5 [5.4-10.5]","7.45264","5.36731","10.48227",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Lithuania","18+  years","Male","16.1 [8.8-26]","16.07978","8.77595","26.01347",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Lithuania","18+  years","Male","16.6 [9.3-26.5]","16.57971","9.27587","26.51340",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Lithuania","18+  years","Both sexes","18.4 [12.3-25.6]","18.35449","12.31113","25.61815",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Lithuania","18+  years","Both sexes","20.2 [14.1-27.4]","20.15465","14.11129","27.41832",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Lithuania","18+  years","Female","20.6 [11.4-32.2]","20.62919","11.43775","32.21955",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Lithuania","18+  years","Female","23.1 [13.9-34.7]","23.07360","13.88215","34.66396",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Luxembourg","18+  years","Male","26.6 [8.4-65.2]","26.62946","8.39274","65.18166",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Luxembourg","18+  years","Male","28.2 [9-66.8]","28.20078","8.99579","66.84923",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Luxembourg","18+  years","Both sexes","28.5 [8-65]","28.52904","7.95016","64.95846",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Luxembourg","18+  years","Both sexes","30 [8.5-66.5]","29.99811","8.46164","66.46120",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Luxembourg","18+  years","Female","30.4 [8.4-66.9]","30.42861","8.35923","66.92719",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Luxembourg","18+  years","Female","31.7 [8.8-68.1]","31.73920","8.77615","68.08020",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Latvia","18+  years","Male","18.3 [5-52.9]","18.34663","4.98608","52.90173",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Latvia","18+  years","Male","19.3 [5.3-54.4]","19.30311","5.27110","54.35446",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Latvia","18+  years","Both sexes","22 [5.5-56.6]","21.98647","5.54587","56.55422",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Latvia","18+  years","Both sexes","23.8 [5.9-58.3]","23.76007","5.92128","58.27035",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Latvia","18+  years","Female","25.6 [6.5-60.9]","25.62631","6.49723","60.90463",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Latvia","18+  years","Female","27.3 [7-62.7]","27.33719","6.95305","62.65865",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Eastern Mediterranean","Morocco","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Monaco","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Monaco","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Monaco","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Monaco","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Monaco","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Monaco","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Female","11.7 [10.2-13.3]","11.65267","10.20716","13.26297",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Both sexes","12.3 [11-13.7]","12.26941","10.98868","13.66726",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Male","12.8 [10.3-15.6]","12.75166","10.29984","15.63340",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Male","12.9 [10.4-15.8]","12.88615","10.43433","15.76789",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Both sexes","13 [11.7-14.4]","12.97144","11.69071","14.36929",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Republic of Moldova","18+  years","Female","13.2 [11.7-14.8]","13.16260","11.71709","14.77290",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Madagascar","18+  years","Male","11.7 [8.4-15.8]","11.73285","8.39989","15.79136",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Madagascar","18+  years","Male","13.7 [10.4-17.8]","13.70535","10.37239","17.76386",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Madagascar","18+  years","Both sexes","16 [13.1-19.2]","15.95173","13.08626","19.16892",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Madagascar","18+  years","Both sexes","17.9 [15.1-21.2]","17.93759","15.07213","21.15479",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Madagascar","18+  years","Female","20.1 [15.5-25.4]","20.07648","15.47737","25.38004",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Madagascar","18+  years","Female","22.2 [17.6-27.5]","22.16984","17.57073","27.47341",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Maldives","18+  years","Male","24.2 [5.3-48.4]","24.24210","5.30582","48.40543",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Maldives","18+  years","Male","25.8 [5.9-51.1]","25.77977","5.94146","51.12614",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Maldives","18+  years","Both sexes","30.3 [6.2-53.8]","30.29456","6.17014","53.82469",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Maldives","18+  years","Both sexes","30.7 [6.5-54.6]","30.65069","6.49940","54.63671",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Maldives","18+  years","Female","35.5 [8.1-60.2]","35.52161","8.06744","60.16895",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Maldives","18+  years","Female","36.3 [8.1-60.7]","36.30518","8.06850","60.65435",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Mexico","18+  years","Male","18.9 [11.8-27.8]","18.92131","11.77927","27.75155",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Mexico","18+  years","Male","20.3 [13.1-29.1]","20.26158","13.11954","29.09181",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Mexico","18+  years","Both sexes","25.4 [19.9-31.5]","25.43173","19.87113","31.52869",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Mexico","18+  years","Both sexes","26 [20.5-32.1]","26.02363","20.46303","32.12060",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Mexico","18+  years","Female","31.2 [23.1-39.9]","31.17941","23.08244","39.89186",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Mexico","18+  years","Female","31.8 [23.7-40.5]","31.78569","23.68873","40.49814",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Male","38 [30.8-45.6]","37.96063","30.82809","45.60373",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Male","41.2 [34.1-48.8]","41.19507","34.06253","48.83817",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Both sexes","44.5 [39.4-49.7]","44.52223","39.41100","49.74244",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Both sexes","47.6 [42.5-52.8]","47.56797","42.45674","52.78817",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Female","51.1 [43.9-58.3]","51.08383","43.93912","58.27458",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Marshall Islands","18+  years","Female","53.9 [46.8-61.1]","53.94086","46.79615","61.13161",""
"Insufficiently active (crude estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","The former Yugoslav republic of Macedonia","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mali","18+  years","Male","16.2 [4.3-49.2]","16.23302","4.34953","49.20912",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mali","18+  years","Male","18.2 [5.1-52]","18.18755","5.13545","52.00900",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mali","18+  years","Both sexes","21.2 [5.5-54.6]","21.17567","5.51081","54.62925",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mali","18+  years","Both sexes","23.7 [6.7-58.2]","23.65027","6.67166","58.24738",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mali","18+  years","Female","26 [7-60.5]","26.04567","7.02247","60.52039",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mali","18+  years","Female","29.1 [8.3-64]","29.11299","8.34212","64.01501",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Malta","18+  years","Male","38.6 [14.2-78.6]","38.60524","14.22834","78.60075",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Malta","18+  years","Male","40.3 [15-79.6]","40.32747","15.03419","79.62241",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Malta","18+  years","Both sexes","42.9 [14.9-79.4]","42.91432","14.90427","79.43807",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Malta","18+  years","Both sexes","45.2 [16-80.7]","45.16079","15.99132","80.71803",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Malta","18+  years","Female","47.2 [17.1-81.8]","47.22340","17.08722","81.83605",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Malta","18+  years","Female","49.9 [18.6-83.2]","49.91732","18.55318","83.23729",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Female","10.7 [8.4-13.5]","10.71544","8.35457","13.48492",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Female","11.6 [9.2-14.3]","11.55293","9.19207","14.32242",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Male","7.2 [5.1-9.8]","7.17816","5.07731","9.84019",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Male","8.3 [6.2-10.9]","8.25612","6.15527","10.91814",""
"Insufficiently active (crude estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Both sexes","9 [7.4-10.9]","9.02658","7.39377","10.89378",""
"Insufficiently active (age-standardized estimate)","Published","2010","South-East Asia","Myanmar","18+  years","Both sexes","9.9 [8.3-11.8]","9.90453","8.27172","11.77173",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Montenegro","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Montenegro","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Montenegro","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Montenegro","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Montenegro","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Montenegro","18+  years","Both sexes","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Male","17.5 [13.8-21.7]","17.48252","13.75413","21.71428",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Male","19.6 [15.8-23.8]","19.56943","15.84104","23.80119",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Both sexes","19.6 [16.8-22.8]","19.63417","16.75730","22.77485",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Both sexes","21.4 [18.5-24.5]","21.37308","18.49620","24.51375",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Female","21.7 [17.4-26.6]","21.71613","17.36146","26.64118",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Mongolia","18+  years","Female","23.2 [18.8-28.1]","23.17673","18.82205","28.10177",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mozambique","18+  years","Male","4.3 [2.2-7.9]","4.31622","2.15526","7.89109",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mozambique","18+  years","Both sexes","4.8 [3.1-7.1]","4.76690","3.13679","7.06285",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mozambique","18+  years","Female","5.2 [3-8.7]","5.17086","2.98707","8.67291",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mozambique","18+  years","Male","5.5 [3.3-9]","5.45336","3.29240","9.02823",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mozambique","18+  years","Both sexes","5.8 [4.2-8.1]","5.83726","4.20715","8.13321",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mozambique","18+  years","Female","6.2 [4-9.7]","6.22116","4.03737","9.72322",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritania","18+  years","Male","35.3 [12.8-76.4]","35.29754","12.82288","76.43444",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritania","18+  years","Male","38 [14.2-78.2]","37.97425","14.22408","78.15572",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritania","18+  years","Both sexes","42.5 [15-79.7]","42.49379","14.98950","79.68910",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritania","18+  years","Both sexes","45.1 [16.5-81.1]","45.05731","16.50407","81.13558",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritania","18+  years","Female","49.7 [19.2-84]","49.66285","19.15644","84.00671",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritania","18+  years","Female","52.1 [20.8-85.1]","52.14037","20.84336","85.10069",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritius","18+  years","Male","22.7 [6.9-60.2]","22.71411","6.85709","60.20668",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritius","18+  years","Male","23.1 [7-60.4]","23.09679","7.04430","60.40005",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritius","18+  years","Both sexes","25.2 [7-60]","25.20313","7.02498","60.03017",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritius","18+  years","Both sexes","25.4 [7-60.3]","25.36135","7.00994","60.25896",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Mauritius","18+  years","Female","27.3 [7.5-61.9]","27.30948","7.46314","61.94285",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Mauritius","18+  years","Female","27.9 [7.7-62.6]","27.91555","7.65546","62.59456",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Malawi","18+  years","Male","4.3 [3-6.1]","4.31590","2.95552","6.10874",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Malawi","18+  years","Male","5.6 [4.3-7.4]","5.63313","4.27275","7.42597",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Malawi","18+  years","Both sexes","6.2 [5.3-7.2]","6.19709","5.30830","7.19907",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Malawi","18+  years","Both sexes","7.5 [6.6-8.5]","7.50492","6.61613","8.50690",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Malawi","18+  years","Female","8 [6.9-9.4]","8.04303","6.87329","9.36474",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Malawi","18+  years","Female","9.4 [8.2-10.7]","9.37671","8.20698","10.69843",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Male","45.6 [38-53.4]","45.59651","38.00417","53.35191",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Male","46.7 [39.1-54.4]","46.68227","39.08993","54.43767",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Both sexes","51.6 [46.3-56.8]","51.58612","46.34388","56.80843",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Both sexes","52.3 [47.1-57.6]","52.33776","47.09553","57.56007",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Female","57.2 [50-64.3]","57.23302","49.96584","64.28646",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Malaysia","18+  years","Female","58 [50.7-65]","57.99326","50.72607","65.04671",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Namibia","18+  years","Male","23.9 [7.4-63.2]","23.86697","7.37080","63.20327",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Namibia","18+  years","Male","26.4 [8.4-65.8]","26.44973","8.39333","65.79382",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Namibia","18+  years","Both sexes","29.7 [8.7-67.3]","29.65972","8.67855","67.31439",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Namibia","18+  years","Both sexes","31.8 [9.7-69.5]","31.76205","9.71119","69.46846",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Namibia","18+  years","Female","34.8 [10.7-72.2]","34.83327","10.68944","72.21125",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Namibia","18+  years","Female","37.1 [11.7-73.8]","37.07436","11.69935","73.84716",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Niger","18+  years","Male","21.2 [15.7-27.5]","21.21821","15.74615","27.48829",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Niger","18+  years","Both sexes","23 [18.8-27.8]","23.04752","18.75269","27.79247",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Niger","18+  years","Male","23.3 [17.8-29.5]","23.26844","17.79638","29.53852",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Niger","18+  years","Female","24.8 [18.1-32.6]","24.83873","18.12851","32.60611",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Niger","18+  years","Both sexes","25.1 [20.8-29.9]","25.12352","20.82869","29.86847",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Niger","18+  years","Female","27 [20.3-34.7]","26.97860","20.26839","34.74597",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Nigeria","18+  years","Male","17.7 [7.9-64.3]","17.69034","7.94340","64.26289",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Nigeria","18+  years","Both sexes","19.8 [7.5-63.9]","19.78927","7.54299","63.92363",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Nigeria","18+  years","Male","20.6 [9.3-67.4]","20.60801","9.28417","67.38141",""
"Insufficiently active (crude estimate)","Published","2010","Africa","Nigeria","18+  years","Female","21.9 [7.8-65.3]","21.93169","7.78061","65.33523",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Nigeria","18+  years","Both sexes","22.3 [8.5-66.3]","22.29483","8.51823","66.26122",""
"Insufficiently active (age-standardized estimate)","Published","2010","Africa","Nigeria","18+  years","Female","24 [8.4-66.7]","23.98166","8.39690","66.66913",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Nicaragua","18+  years","Male","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Nicaragua","18+  years","Female","No data","","","",""
"Insufficiently active (crude estimate)","Published","2010","Americas","Nicaragua","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Nicaragua","18+  years","Male","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Nicaragua","18+  years","Female","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Americas","Nicaragua","18+  years","Both sexes","No data","","","",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Niue","18+  years","Female","4.6 [2.4-7.3]","4.55680","2.36148","7.31287",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Niue","18+  years","Both sexes","5.6 [4.1-7.5]","5.63492","4.11261","7.47096",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Niue","18+  years","Female","6.1 [3.9-8.9]","6.11349","3.91817","8.86956",""
"Insufficiently active (age-standardized estimate)","Published","2010","Western Pacific","Niue","18+  years","Male","6.7 [4.8-9.4]","6.71305","4.81231","9.35266",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Niue","18+  years","Both sexes","7.1 [5.6-9]","7.11400","5.59169","8.95004",""
"Insufficiently active (crude estimate)","Published","2010","Western Pacific","Niue","18+  years","Male","8.1 [6.2-10.8]","8.11451","6.21378","10.75412",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Netherlands","18+  years","Male","14 [3.6-42.2]","14.01125","3.59221","42.24004",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Netherlands","18+  years","Both sexes","15.5 [3.5-42.1]","15.49930","3.52216","42.05630",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Netherlands","18+  years","Male","16 [4.2-46.3]","16.03781","4.17623","46.28660",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Netherlands","18+  years","Female","17 [3.8-44.3]","16.98734","3.84371","44.26965",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Netherlands","18+  years","Both sexes","17.9 [4.1-46.4]","17.89239","4.13331","46.36436",""
"Insufficiently active (crude estimate)","Published","2010","Europe","Netherlands","18+  years","Female","19.7 [4.5-48.9]","19.67860","4.54856","48.87352",""
"Insufficiently active (age-standardized estimate)","Published","2010","Europe","Norway","18+  years","Male","22.9 [7-59.9]","22.85918","7.00704","59.87241",""
